  100    4950
    4      45      12
    4      46      71
    4      47      42
    4      48      41
    4      49      69
    4      50       4
    4      51      35
    4      52      28
    4      53      10
    4      54      55
    4      55      27
    4      56      48
    4      57      98
    4      58      16
    4      59      78
    4      60      99
    4      61      20
    4      62       2
    4      63      38
    4      64      87
    4      65      79
    4      66      21
    4      67      13
    4      68      34
    4      69      34
    4      70      56
    4      71      12
    4      72      36
    4      73      54
    4      74      45
    4      75      23
    4      76       4
    4      77      64
    4      78      15
    4      79      14
    4      80      78
    4      81      25
    4      82      31
    4      83      33
    4      84      71
    4      85      75
    4      86      88
    4      87      26
    4      88      33
    4      89      85
    4      90       6
    4      91      98
    4      92      74
    4      93      34
    4      94       6
    4      95      54
    4      96      41
    4      97      34
    4      98      26
    4      99      30
    4     100      49
    5       6      31
    5       7      46
    5       8      88
    5       9      42
    5      10      61
    5      11      33
    5      12       2
    5      13      91
    5      14       8
    5      15      53
    5      16      38
    5      17       6
    5      18      37
    5      19     100
    5      20      73
    5      21      27
    5      22      40
    5      23      96
    5      24      15
    5      25      21
    5      26      65
    5      27      67
    5      28      96
    5      29      69
    5      30      30
    5      31      61
    5      32      86
    5      33      20
    5      34      14
    5      35      24
    5      36       8
    5      37      61
    5      38      63
    5      39       2
    5      40      75
    5      41      36
    5      42      42
    5      43      45
    5      44      71
    5      45      13
    5      46      81
    5      47      11
    5      48       8
    5      49      22
    5      50      28
    5      51      86
    5      52      57
    5      53      41
    5      54      95
    5      55      25
    5      56      53
    5      57      48
    5      58      32
    5      59       9
    5      60      83
    5      61      55
    5      62      82
    5      63      91
    5      64       7
    5      65      10
    5      66      18
    5      67      81
    5      68      38
    5      69      59
    5      70       5
    5      71      80
    5      72      37
    5      73      31
    5      74      96
    5      75      16
    5      76      92
    5      77       2
    5      78       6
    5      79      58
    5      80      67
    5      81      34
    5      82      74
    5      83      70
    5      84      61
    5      85      94
    5      86      75
    5      87      59
    5      88      72
    5      89      69
    5      90      78
    5      91      13
    5      92      60
    5      93     100
    5      94      35
    5      95      65
    5      96      84
    5      97      69
    5      98      77
    5      99      28
    5     100      50
    6       7      13
    6       8      76
    6       9      16
    6      10      25
    6      11      90
    6      12      31
    6      13      77
    6      14      17
    6      15       4
    6      16      85
    6      17      25
    6      18       9
    6      19      76
    6      20      78
    6      21      51
    6      22      19
    6      23      98
    6      24      30
    6      25      74
    6      26      86
    6      27      35
    6      28      44
    6      29      99
    6      30      44
    6      31      98
    6      32      46
    6      33      42
    6      34      98
    6      35      77
    6      36      98
    6      37       6
    6      38       5
    6      39      58
    6      40       5
    6      41      98
    6      42       1
    6      43      24
    6      44      18
    6      45       2
    6      46      87
    6      47      74
    6      48      40
    6      49       9
    6      50      26
    6      51      57
    6      52      94
    6      53      30
    6      54      12
    6      55       1
    6      56      78
    6      57      78
    6      58      59
    6      59      94
    6      60      91
    6      61      56
    6      62      54
    6      63      20
    6      64      68
    6      65      50
    6      66      26
    6      67      39
    6      68      52
    6      69      85
    6      70      90
    6      71      95
    6      72      80
    6      73      77
    6      74       3
    6      75      88
    6      76      50
    6      77      49
    6      78      29
    6      79      23
    6      80      28
    6      81      90
    6      82      95
    6      83      25
    6      84      99
    6      85      50
    6      86      29
    6      87       7
    6      88      82
    6      89      30
    6      90      38
    6      91      65
    6      92       8
    6      93      78
    6      94       5
    6      95      43
    6      96      54
    6      97      37
    6      98      70
    6      99      65
    6     100      95
    7       8      77
    7       9      86
    7      10      49
    7      11      72
    7      12      24
    7      13      59
    7      14      47
    7      15       4
    7      16      50
    7      17      43
    7      18      20
    7      19      69
    7      20      27
    7      21      61
    7      22      42
    7      23      59
    7      24      52
    7      25      38
    7      26      16
    7      27      37
    7      28      25
    7      29      36
    7      30      65
    7      31      75
    7      32      55
    7      33      47
    7      34      22
    7      35      55
    7      36      74
    7      37      69
    7      38      28
    7      39      66
    7      40      86
    7      41      37
    7      42       5
    7      43      68
    7      44      48
    7      45      40
    7      46      35
    7      47      93
    7      48      88
    7      49      31
    7      50      22
    7      51      54
    7      52      84
    7      53      89
    7      54      48
    7      55      53
    7      56      82
    7      57       3
    7      58      62
    7      59      62
    7      60      65
    7      61      21
    7      62      53
    7      63      99
    7      64      34
    7      65      96
    7      66      94
    7      67      15
    7      68      14
    7      69      72
    7      70      70
    7      71      61
    7      72      20
    7      73      38
    7      74      22
    7      75      65
    7      76      40
    7      77      79
    7      78      23
    7      79      41
    7      80      89
    7      81      97
    7      82      27
    7      83      59
    7      84      73
    7      85      76
    7      86      80
    7      87      48
    7      88      18
    7      89      50
    7      90      60
    7      91      38
    7      92      98
    7      93      78
    7      94      53
    7      95      68
    7      96      60
    7      97      63
    7      98      45
    7      99      31
    7     100      12
    8       9       6
    8      10      97
    8      11      11
    8      12      43
    8      13      42
    8      14      45
    8      15      29
    8      16      96
    8      17       1
    8      18      90
    8      19      98
    8      20      50
    8      21       7
    8      22      35
    8      23      36
    8      24      97
    8      25      87
    8      26      39
    8      27      44
    8      28      73
    8      29      87
    8      30      46
    8      31      98
    8      32      39
    8      33      37
    8      34      10
    8      35       9
    8      36       3
    8      37      11
    8      38      66
    8      39      81
    8      40      14
    8      41      76
    8      42      40
    8      43      53
    8      44      63
    8      45      95
    8      46      42
    8      47      85
    8      48      77
    8      49      72
    8      50      41
    8      51      47
    8      52      94
    8      53      34
    8      54       6
    8      55      70
    8      56      93
    8      57      39
    8      58      25
    8      59      39
    8      60       2
    8      61      35
    8      62      33
    8      63       7
    8      64      84
    8      65       6
    8      66      40
    8      67      25
    8      68      47
    8      69      90
    8      70      61
    8      71      55
    8      72      85
    8      73      59
    8      74      18
    8      75      46
    8      76      61
    8      77       2
    8      78      69
    8      79      97
    8      80      52
    8      81      84
    8      82      19
    8      83      81
    8      84      45
    8      85       8
    8      86      44
    8      87      23
    8      88      50
    8      89      79
    8      90      40
    8      91       5
    8      92      35
    8      93      49
    8      94       4
    8      95      81
    8      96       2
    8      97      34
    8      98      47
    8      99      50
    8     100      39
    9      10      52
    9      11      19
    9      12      50
    9      13      26
    9      14      66
    9      15      34
    9      16      44
    9      17       5
    9      18      97
    9      19      23
    9      20      31
    9      21       3
    9      22      95
    9      23      76
    9      24      96
    9      25      63
    9      26      20
    9      27      40
    9      28       5
    9      29      99
    9      30      31
    9      31      60
    9      32      95
    9      33      95
    9      34      41
    9      35      76
    9      36      66
    9      37      12
    9      38      96
    9      39      29
    9      40      69
    9      41      54
    9      42      45
    9      43      24
    9      44      13
    9      45      58
    9      46      55
    9      47       7
    9      48       3
    9      49      75
    9      50       7
    9      51      41
    9      52       7
    9      53     100
    9      54      19
    9      55      92
    9      56      91
    9      57      96
    9      58      94
    9      59      53
    9      60      23
    9      61      12
    9      62      85
    9      63       7
    9      64      33
    9      65      74
    9      66      73
    9      67      36
    9      68      37
    9      69      11
    9      70      24
    9      71       2
    9      72      60
    9      73      92
    9      74      55
    9      75      28
    9      76      25
    9      77      23
    9      78      89
    9      79      82
    9      80       6
    9      81      83
    9      82      42
    9      83      82
    9      84      64
    9      85      85
    9      86      51
    9      87       6
    9      88      86
    9      89      57
    9      90      76
    9      91      74
    9      92      71
    9      93      10
    9      94      66
    9      95      92
    9      96       2
    9      97      87
    9      98      23
    9      99      61
    9     100      66
   10      11      49
   10      12      49
   10      13      95
   10      14      95
   10      15       9
   10      16      96
   10      17      87
   10      18      22
   10      19      72
   10      20      81
   10      21      66
   10      22      11
   10      23      47
   10      24     100
   10      25      20
   10      26      43
   10      27      80
   10      28       4
   10      29      49
   10      30      84
   10      31      57
   10      32      22
   10      33      62
   10      34       5
   10      35      84
   10      36      49
   10      37      57
   10      38      38
   10      39      24
   10      40       9
   10      41      39
   10      42      55
   10      43      11
   10      44      30
   10      45      77
   10      46      29
   10      47      11
   10      48      33
   10      49      60
   10      50      41
   10      51      53
   10      52      68
   10      53      29
   10      54      85
   10      55      50
   10      56      44
   10      57       3
   10      58      95
   10      59      91
   10      60      38
   10      61      68
   10      62       8
   10      63      44
   10      64      31
   10      65      54
   10      66      74
   10      67      86
   10      68      58
   10      69      90
   10      70      52
   10      71      27
   10      72      97
   10      73      24
   10      74      96
   10      75      73
   10      76      72
   10      77      79
   10      78      44
   10      79      62
   10      80      81
   10      81      59
   10      82      96
   10      83      40
   10      84      48
   10      85      45
   10      86      73
   10      87      48
   10      88      49
   10      89      72
   10      90      44
   10      91      88
   10      92      65
   10      93      26
   10      94      50
   10      95      11
   10      96      98
   10      97       6
   10      98      78
   10      99       2
   10     100      41
   11      12      36
   11      13      87
   11      14      22
   11      15       6
   11      16     100
   11      17       8
   11      18       6
   11      19      65
   11      20      76
   11      21      88
   11      22       4
   11      23      15
   11      24      21
   11      25       3
   11      26       9
   11      27      42
   11      28      30
   11      29      49
   11      30      15
   11      31      79
   11      32      32
   11      33      75
   11      34      23
   11      35      40
   11      36      35
   11      37      12
   11      38       7
   11      39      27
   11      40      26
   11      41      20
   11      42      84
   11      43      66
   11      44      84
   11      45      39
   11      46      54
   11      47      18
   11      48      99
   11      49      81
   11      50      43
   11      51     100
   11      52       3
   11      53      85
   11      54      52
   11      55      24
   11      56      76
   11      57      19
   11      58      68
   11      59      55
   11      60      68
   11      61      41
   11      62      66
   11      63      51
   11      64      68
   11      65      12
   11      66      45
   11      67      21
   11      68      82
   11      69      23
   11      70      35
   11      71      24
   11      72      59
   11      73      75
   11      74      98
   11      75      48
   11      76      58
   11      77      67
   11      78      97
   11      79      51
   11      80      99
   11      81      31
   11      82      81
   11      83      83
   11      84      22
   11      85      48
   11      86      96
   11      87      37
   11      88      60
   11      89      59
   11      90      70
   11      91      95
   11      92      45
   11      93      99
   11      94      61
   11      95      74
   11      96      80
   11      97      26
   11      98      52
   11      99      18
   11     100      49
   12      13      56
   12      14      73
   12      15      77
   12      16      72
   12      17      56
   12      18      56
   12      19      38
   12      20      11
   12      21      50
   12      22      80
   12      23      58
   12      24      85
   12      25      53
   12      26      72
   12      27      17
   12      28      46
   12      29      76
   12      30      96
   12      31      33
   12      32      60
   12      33      27
   12      34      57
   12      35      77
   12      36      56
   12      37      76
   12      38      75
   12      39      68
   12      40      42
   12      41      21
   12      42      36
   12      43      44
   12      44      84
   12      45      20
   12      46      91
   12      47      56
   12      48      84
   12      49      77
   12      50      17
   12      51      17
   12      52      60
   12      53      60
   12      54      35
   12      55       8
   12      56       6
   12      57      92
   12      58     100
   12      59      94
   12      60      93
   12      61      23
   12      62      93
   12      63      80
   12      64      67
   12      65      74
   12      66      89
   12      67      64
   12      68       6
   12      69      14
   12      70      98
   12      71      56
   12      72      56
   12      73      81
   12      74      13
   12      75      37
   12      76       5
   12      77      64
   12      78       7
   12      79      95
   12      80      15
   12      81      78
   12      82      99
   12      83      63
   12      84      97
   12      85      40
   12      86      70
   12      87       8
   12      88      36
   12      89      25
   12      90      21
   12      91      21
   12      92      75
   12      93      20
   12      94      37
   12      95      34
   12      96      28
   12      97      75
   12      98      56
   12      99      79
   12     100      58
   13      14       5
   13      15      52
   13      16      69
   13      17      17
   13      18       1
   13      19      56
   13      20      59
   13      21      14
   13      22      71
   13      23       7
   13      24      30
   13      25      44
   13      26      43
   13      27      17
   13      28      93
   13      29      28
   13      30      24
   13      31      54
   13      32      93
   13      33       4
   13      34      40
   13      35      58
   13      36      48
   13      37      25
   13      38      37
   13      39      11
   13      40      46
   13      41      56
   13      42      36
   13      43      92
   13      44      95
   13      45      79
   13      46      22
   13      47      25
   13      48      36
   13      49     100
   13      50       4
   13      51       8
   13      52      95
   13      53      34
   13      54      49
   13      55      22
   13      56      69
   13      57      99
   13      58      68
   13      59     100
   13      60      42
   13      61      19
   13      62       1
   13      63      18
   13      64      38
   13      65      80
   13      66       5
   13      67      25
   13      68      93
   13      69      85
   13      70      69
   13      71      61
   13      72      61
   13      73      51
   13      74      70
   13      75       3
   13      76      78
   13      77      26
   13      78      85
   13      79      14
   13      80      33
   13      81      21
   13      82      52
   13      83      36
   13      84      43
   13      85      27
   13      86      21
   13      87      74
   13      88      49
   13      89      70
   13      90      54
   13      91      71
   13      92      30
   13      93      21
   13      94      69
   13      95      49
   13      96      60
   13      97      65
   13      98     100
   13      99      70
   13     100      84
   14      15      35
   14      16      87
   14      17      71
   14      18      27
   14      19      45
   14      20      75
   14      21      32
   14      22       6
   14      23      51
   14      24      94
   14      25      74
   14      26      74
   14      27      35
   14      28      86
   14      29      90
   14      30      75
   14      31      17
   14      32      55
   14      33      25
   14      34      95
   14      35      89
   14      36      76
   14      37      39
   14      38      29
   14      39      85
   14      40      11
   14      41      39
   14      42      78
   14      43      35
   14      44      44
   14      45      84
   14      46      12
   14      47       1
   14      48       6
   14      49      24
   14      50      89
   14      51      34
   14      52      35
   14      53      30
   14      54      90
   14      55      82
   14      56      97
   14      57      29
   14      58      64
   14      59      78
   14      60       9
   14      61      19
   14      62      98
   14      63      65
   14      64      40
   14      65      91
   14      66     100
   14      67      45
   14      68      83
   14      69      43
   14      70      53
   14      71      37
   14      72      18
   14      73      82
   14      74      48
   14      75       3
   14      76       4
   14      77      33
   14      78      74
   14      79      90
   14      80      66
   14      81      14
   14      82      17
   14      83      58
   14      84      14
   14      85      30
   14      86      41
   14      87      41
   14      88      12
   14      89      56
   14      90      63
   14      91      24
   14      92      65
   14      93      26
   14      94      25
   14      95      81
   14      96       1
   14      97      32
   14      98      35
   14      99      96
   14     100      39
   15      16       4
   15      17      39
   15      18      16
   15      19      50
   15      20       9
   15      21      56
   15      22      87
   15      23      68
   15      24      30
   15      25      20
   15      26      18
   15      27      34
   15      28      32
   15      29      44
   15      30      46
   15      31      58
   15      32      37
   15      33       9
   15      34      13
   15      35      99
   15      36      30
   15      37       7
   15      38      67
   15      39      18
   15      40      80
   15      41      16
   15      42      53
   15      43      95
   15      44      37
   15      45      30
   15      46      87
   15      47      22
   15      48      33
   15      49      30
   15      50      95
   15      51      96
   15      52      34
   15      53      80
   15      54      96
   15      55       9
   15      56      85
   15      57      59
   15      58      71
   15      59       8
   15      60      21
   15      61       4
   15      62      75
   15      63      76
   15      64       7
   15      65       4
   15      66      67
   15      67      99
   15      68      84
   15      69      25
   15      70      44
   15      71      81
   15      72      49
   15      73      28
   15      74      76
   15      75      37
   15      76      59
   15      77      93
   15      78      23
   15      79      17
   15      80      14
   15      81      89
   15      82      83
   15      83       8
   15      84      82
   15      85      73
   15      86      15
   15      87      81
   15      88      47
   15      89      91
   15      90      17
   15      91      97
   15      92      10
   15      93      93
   15      94      32
   15      95      88
   15      96      70
   15      97      88
   15      98      13
   15      99      99
   15     100       1
   16      17      33
   16      18      77
   16      19      52
   16      20      20
   16      21      96
   16      22      33
   16      23      51
   16      24       6
   16      25      16
   16      26      20
   16      27      24
   16      28      98
   16      29      81
   16      30      53
   16      31      46
   16      32      92
   16      33      90
   16      34      93
   16      35      52
   16      36      98
   16      37      91
   16      38      12
   16      39      81
   16      40      36
   16      41       2
   16      42      74
   16      43      88
   16      44      51
   16      45      98
   16      46      11
   16      47      68
   16      48       7
   16      49      58
   16      50      48
   16      51      12
   16      52      16
   16      53      46
   16      54      31
   16      55      23
   16      56       8
   16      57      96
   16      58      58
   16      59      53
   16      60      87
   16      61      25
   16      62      52
   16      63      36
   16      64      97
   16      65      49
   16      66      79
   16      67      38
   16      68      35
   16      69       4
   16      70      55
   16      71      99
   16      72      62
   16      73      10
   16      74      94
   16      75      71
   16      76      91
   16      77      60
   16      78      40
   16      79      35
   16      80      43
   16      81       6
   16      82      55
   16      83      40
   16      84      31
   16      85       1
   16      86      68
   16      87      78
   16      88      83
   16      89      55
   16      90      25
   16      91      56
   16      92      25
   16      93      48
   16      94      61
   16      95      75
   16      96     100
   16      97      61
   16      98      98
   16      99      44
   16     100      72
   17      18      65
   17      19      86
   17      20      83
   17      21      55
   17      22      98
   17      23      59
   17      24      33
   17      25      75
   17      26      59
   17      27      35
   17      28      38
   17      29      45
   17      30      19
   17      31      48
   17      32      88
   17      33      65
   17      34      97
   17      35      23
   17      36      29
   17      37      31
   17      38      83
   17      39      89
   17      40      12
   17      41      51
   17      42      62
   17      43      45
   17      44      80
   17      45      51
   17      46      51
   17      47      12
   17      48       8
   17      49      40
   17      50      21
   17      51      78
   17      52      10
   17      53      69
   17      54      47
   17      55      99
   17      56      41
   17      57      41
   17      58      12
   17      59      48
   17      60       1
   17      61      49
   17      62      88
   17      63      47
   17      64      52
   17      65      13
   17      66      15
   17      67      61
   17      68      38
   17      69       4
   17      70      42
   17      71      61
   17      72      59
   17      73       6
   17      74      55
   17      75      84
   17      76      54
   17      77      20
   17      78      64
   17      79      26
   17      80      16
   17      81      60
   17      82      29
   17      83      46
   17      84      90
   17      85      39
   17      86       3
   17      87      74
   17      88      46
   17      89      66
   17      90      87
   17      91      76
   17      92      91
   17      93      35
   17      94      82
   17      95      81
   17      96      50
   17      97      95
   17      98       3
   17      99       9
   17     100      74
   18      19      62
   18      20      86
   18      21      43
   18      22      61
   18      23      27
   18      24      60
   18      25       2
   18      26      45
   18      27      43
   18      28      82
   18      29      63
   18      30      63
   18      31      10
   18      32      13
   18      33      11
   18      34      74
   18      35      79
   18      36      17
   18      37      76
   18      38       6
   18      39      29
   18      40      41
   18      41      37
   18      42      61
   18      43       5
   18      44       2
   18      45      39
   18      46      37
   18      47      97
   18      48      62
   18      49      45
   18      50      55
   18      51     100
   18      52      49
   18      53      91
   18      54      26
   18      55      16
   18      56      27
   18      57      33
   18      58      79
   18      59      55
   18      60      84
   18      61      91
   18      62      13
   18      63      62
   18      64      93
   18      65      50
   18      66       2
   18      67      54
   18      68      99
   18      69      39
   18      70      27
   18      71      52
   18      72      22
   18      73      55
   18      74      63
   18      75      93
   18      76      40
   18      77       2
   18      78      36
   18      79      72
   18      80      84
   18      81      62
   18      82       3
   18      83      45
   18      84      41
   18      85      19
   18      86      65
   18      87      11
   18      88      76
   18      89      71
   18      90      56
   18      91      99
   18      92      17
   18      93       9
   18      94       5
   18      95      85
   18      96       2
   18      97      18
   18      98      61
   18      99       4
   18     100      25
   19      20      14
   19      21      57
   19      22      79
   19      23      85
   19      24      70
   19      25      66
   19      26      32
   19      27      93
   19      28      86
   19      29      17
   19      30      75
   19      31      73
   19      32      14
   19      33      37
   19      34      66
   19      35      15
   19      36      67
   19      37      36
   19      38      19
   19      39      34
   19      40      30
   19      41      15
   19      42      72
   19      43      37
   19      44      83
   19      45      66
   19      46      86
   19      47      22
   19      48      41
   19      49      57
   19      50      68
   19      51      42
   19      52      35
   19      53      39
   19      54      94
   19      55      95
   19      56      78
   19      57      18
   19      58      59
   19      59      44
   19      60      81
   19      61      26
   19      62      59
   19      63      47
   19      64      95
   19      65       7
   19      66      87
   19      67      10
   19      68      32
   19      69      39
   19      70      35
   19      71     100
   19      72      90
   19      73      53
   19      74      19
   19      75      99
   19      76      99
   19      77      42
   19      78      78
   19      79       4
   19      80      72
   19      81      92
   19      82      19
   19      83      97
   19      84      83
   19      85      40
   19      86      43
   19      87      31
   19      88      34
   19      89      29
   19      90      27
   19      91      25
   19      92      56
   19      93      77
   19      94      62
   19      95      68
   19      96      40
   19      97       7
   19      98      67
   19      99      25
   19     100      10
   20      21      26
   20      22       8
   20      23      40
   20      24      51
   20      25      49
   20      26      38
   20      27      84
   20      28      29
   20      29      38
   20      30       3
   20      31      88
   20      32      40
   20      33      16
   20      34      31
   20      35      91
   20      36      69
   20      37       9
   20      38      45
   20      39      40
   20      40       9
   20      41      73
   20      42      57
   20      43      95
   20      44      32
   20      45      86
   20      46       1
   20      47      77
   20      48      19
   20      49      99
   20      50       6
   20      51      71
   20      52      76
   20      53      30
   20      54       2
   20      55      45
   20      56      61
   20      57     100
   20      58      94
   20      59      71
   20      60      34
   20      61       2
   20      62      64
   20      63      36
   20      64       5
   20      65      93
   20      66      80
   20      67      36
   20      68      15
   20      69      91
   20      70      83
   20      71       1
   20      72      23
   20      73      79
   20      74      10
   20      75      19
   20      76      25
   20      77     100
   20      78      17
   20      79      47
   20      80      86
   20      81       9
   20      82      64
   20      83      57
   20      84      55
   20      85      58
   20      86      20
   20      87      18
   20      88      90
   20      89      31
   20      90      78
   20      91      60
   20      92      11
   20      93      38
   20      94      47
   20      95      83
   20      96      67
   20      97       7
   20      98      73
   20      99      60
   20     100      25
   21      22       1
   21      23      89
   21      24      72
   21      25      13
   21      26      89
   21      27      95
   21      28      39
   21      29      15
   21      30      62
   21      31      46
   21      32      48
   21      33      47
   21      34       2
   21      35      60
   21      36      79
   21      37      55
   21      38      94
   21      39      37
   21      40       6
   21      41      73
   21      42      53
   21      43      99
   21      44      85
   21      45      18
   21      46      60
   21      47      94
   21      48      70
   21      49      65
   21      50       7
   21      51      34
   21      52      77
   21      53       2
   21      54       6
   21      55      97
   21      56      80
   21      57      50
   21      58      87
   21      59      90
   21      60       7
   21      61       4
   21      62      58
   21      63      97
   21      64      58
   21      65      53
   21      66      15
   21      67      21
   21      68      40
   21      69      33
   21      70      87
   21      71      19
   21      72      60
   21      73      38
   21      74      24
   21      75      46
   21      76      60
   21      77     100
   21      78      51
   21      79      60
   21      80      20
   21      81       2
   21      82      47
   21      83      80
   21      84      34
   21      85       1
   21      86      22
   21      87      93
   21      88      67
   21      89      43
   21      90      86
   21      91      63
   21      92      95
   21      93      88
   21      94      23
   21      95      87
   21      96      91
   21      97      27
   21      98      89
   21      99      29
   21     100       9
   22      23      13
   22      24      72
   22      25      94
   22      26       3
   22      27      50
   22      28      56
   22      29      68
   22      30      92
   22      31       2
   22      32      95
   22      33      16
   22      34      66
   22      35      96
   22      36      34
   22      37      92
   22      38      37
   22      39      46
   22      40      82
   22      41      69
   22      42       8
   22      43      69
   22      44      82
   22      45      51
   22      46      35
   22      47       7
   22      48      26
   22      49      47
   22      50       7
   22      51      72
   22      52      77
   22      53      78
   22      54      78
   22      55      73
   22      56      87
   22      57      32
   22      58      82
   22      59      69
   22      60      25
   22      61      71
   22      62      13
   22      63      97
   22      64      30
   22      65      67
   22      66      31
   22      67      92
   22      68      60
   22      69      87
   22      70      75
   22      71       5
   22      72      92
   22      73      72
   22      74      55
   22      75      77
   22      76      14
   22      77      68
   22      78      24
   22      79      23
   22      80      70
   22      81      70
   22      82      47
   22      83       9
   22      84      69
   22      85       1
   22      86      46
   22      87      18
   22      88      65
   22      89      80
   22      90      81
   22      91      66
   22      92      34
   22      93       9
   22      94      56
   22      95      40
   22      96      80
   22      97       6
   22      98      53
   22      99      16
   22     100      91
   23      24      80
   23      25       9
   23      26       7
   23      27       4
   23      28      27
   23      29      86
   23      30      25
   23      31      43
   23      32      48
   23      33      40
   23      34      98
   23      35      10
   23      36      11
   23      37      38
   23      38      79
   23      39      23
   23      40      32
   23      41      78
   23      42      86
   23      43      82
   23      44      93
   23      45      59
   23      46      68
   23      47      69
   23      48      87
   23      49      69
   23      50      17
   23      51      42
   23      52      71
   23      53      64
   23      54       9
   23      55      94
   23      56      97
   23      57      47
   23      58      58
   23      59      63
   23      60      98
   23      61      11
   23      62      56
   23      63      10
   23      64      26
   23      65      53
   23      66       7
   23      67      42
   23      68      17
   23      69       2
   23      70      62
   23      71      73
   23      72      17
   23      73      50
   23      74      90
